scientificName,canonicalName,authorship,family,epithet,description
"Pseudocricetodon adroveri Freudenthal et al., 1994",Pseudocricetodon adroveri,"Freudenthal et al., 1994",Muridae,adroveri,a rodent named after Adrover
"Pseudocricetodon heissigi Markovi_, Wessels, van de Weerd & de Bruijn, 2019",Pseudocricetodon heissigi,"Markovi_, Wessels, van de Weerd & de Bruijn, 2019",Muridae,heissigi,a rodent named after Heiss
"Pseudocricetodon incertus (Schlosser, 1884)",Pseudocricetodon incertus,"(Schlosser, 1884) ",Muridae,incertus,a rodent that resembles of uncertain placement
"Pseudocricetodon moguntiacus (Bahlo, 1975)",Pseudocricetodon moguntiacus,"(Bahlo, 1975) ",Muridae,moguntiacus,a rodent from or related to Mainz
"Pseudocricetodon montalbanensis Thaler, 1969",Pseudocricetodon montalbanensis,"Thaler, 1969",Muridae,montalbanensis,a rodent from Montalbán
"Pseudocricetodon montalbensis Thaler, 1969",Pseudocricetodon montalbensis,"Thaler, 1969",Muridae,montalbensis,a rodent from Montalbo
"Pseudocricetodon nawabi Marivaux et al., 1999",Pseudocricetodon nawabi,"Marivaux et al., 1999",Muridae,nawabi,a rodent that resembles of or relating to a nawab
"Pseudocricetodon philippi Hugueney, 1971",Pseudocricetodon philippi,"Hugueney, 1971",Muridae,philippi,a rodent named after Philippi
"Pseudocricetodon simplex Freudenthal et al., 1994",Pseudocricetodon simplex,"Freudenthal et al., 1994",Muridae,simplex,a simple or unbranched rodent
"Pseudocricetodon thaleri Hugueney, 1969",Pseudocricetodon thaleri,"Hugueney, 1969",Muridae,thaleri,a rodent named after Thaler
"Pseudocricetops matthewi Gomes Rodrigues et al., 2012",Pseudocricetops matthewi,"Gomes Rodrigues et al., 2012",Muridae,matthewi,a rodent named after Matthew
"Pseudohydromys berniceae Helgen & L.Helgen, 2009",Pseudohydromys berniceae,"Helgen & L.Helgen, 2009",Muridae,berniceae,a rodent named after Berenice
"Pseudohydromys carlae Helgen & L.Helgen, 2009",Pseudohydromys carlae,"Helgen & L.Helgen, 2009",Muridae,carlae,a rodent named after Carla
"Pseudohydromys eleanorae Helgen & L.Helgen, 2009",Pseudohydromys eleanorae,"Helgen & L.Helgen, 2009",Muridae,eleanorae,a rodent named after Eleanor
"Pseudohydromys ellermani (Laurie & Hill, 1954)",Pseudohydromys ellermani,"(Laurie & Hill, 1954) ",Muridae,ellermani,a rodent named after Ellerman
"Pseudohydromys fuscus (Laurie, 1952)",Pseudohydromys fuscus,"(Laurie, 1952) ",Muridae,fuscus,a rodent that resembles dark brown
"Pseudohydromys germani (Helgen, 2005)",Pseudohydromys germani,"(Helgen, 2005) ",Muridae,germani,a rodent from Germany
"Pseudohydromys murinus Rümmler, 1934",Pseudohydromys murinus,"Rümmler, 1934",Muridae,murinus,a mouse-like rodent
"Pseudohydromys musseri (Flannery, 1989)",Pseudohydromys musseri,"(Flannery, 1989) ",Muridae,musseri,a rodent named after Musser
"Pseudohydromys occidentalis Tate, 1951",Pseudohydromys occidentalis,"Tate, 1951",Muridae,occidentalis,a rodent that resembles western or from the west
"Pseudohydromys patriciae Helgen & L.Helgen, 2009",Pseudohydromys patriciae,"Helgen & L.Helgen, 2009",Muridae,patriciae,a rodent named after Patricia
"Pseudohydromys pumehanae Helgen & L.Helgen, 2009",Pseudohydromys pumehanae,"Helgen & L.Helgen, 2009",Muridae,pumehanae,a rodent from Pumehana
"Pseudohydromys sandrae Helgen & L.Helgen, 2009",Pseudohydromys sandrae,"Helgen & L.Helgen, 2009",Muridae,sandrae,a rodent named after Sandra
"Lophocricetus abbreviatus (Teilhard, 1926)",Lophocricetus abbreviatus,"(Teilhard, 1926) ",Muridae,abbreviatus,a shortened rodent
"Pseudomeriones latidens Sen, 2001",Pseudomeriones latidens,"Sen, 2001",Muridae,latidens,a broad-toothed rodent
"Pseudomeriones megistos Sylvestrou & Kostopoulos, 2007",Pseudomeriones megistos,"Sylvestrou & Kostopoulos, 2007",Muridae,megistos,a rodent that resembles very large
"Pseudomeriones pythagorasi Black et al., 1980",Pseudomeriones pythagorasi,"Black et al., 1980",Muridae,pythagorasi,a rodent named after Pythagoras
"Pseudomeriones spec Schaub, 1934",Pseudomeriones spec,"Schaub, 1934",Muridae,spec,a rodent that resembles of a particular species
"Gyomys berneyi Troughton, 1936",Gyomys berneyi,"Troughton, 1936",Muridae,berneyi,a rodent named after Berney
"Pseudomys albapes Hoser, 2020",Pseudomys albapes,"Hoser, 2020",Muridae,albapes,a white-footed rodent
"Pseudomys albocinereus (Gould, 1845)",Pseudomys albocinereus,"(Gould, 1845) ",Muridae,albocinereus,a rodent that resembles white and ashen
"Pseudomys apodemoides Finlayson, 1932",Pseudomys apodemoides,"Finlayson, 1932",Muridae,apodemoides,a rodent that resembles resembling a field mouse
"Pseudomys australis Gray, 1832",Pseudomys australis,"Gray, 1832",Muridae,australis,a rodent that resembles southern
"Pseudomys bolami Troughton, 1932",Pseudomys bolami,"Troughton, 1932",Muridae,bolami,a rodent named after Bolam
"Pseudomys botami Troughton, 1932",Pseudomys botami,"Troughton, 1932",Muridae,botami,a rodent that resembles of or relating to cattle
"Pseudomys calabyi Kitchener & Humphreys, 1987",Pseudomys calabyi,"Kitchener & Humphreys, 1987",Muridae,calabyi,a rodent named after John Calaby
"Pseudomys chapmani Kitchener, 1980",Pseudomys chapmani,"Kitchener, 1980",Muridae,chapmani,a rodent named after Chapman
"Pseudomys delicatulus (Gould, 1842)",Pseudomys delicatulus,"(Gould, 1842) ",Muridae,delicatulus,a rodent that resembles very delicate
"Pseudomys desertor Troughton, 1932",Pseudomys desertor,"Troughton, 1932",Muridae,desertor,"a rodent that resembles deserter, abandoning its habitat"
"Pseudomys fieldi (Waite, 1896)",Pseudomys fieldi,"(Waite, 1896) ",Muridae,fieldi,a rodent named after Field
"Pseudomys fumeus Brazenor, 1934",Pseudomys fumeus,"Brazenor, 1934",Muridae,fumeus,a smoky or sooty colored rodent
"Pseudomys glaucus Thomas, 1910",Pseudomys glaucus,"Thomas, 1910",Muridae,glaucus,a rodent that resembles bluish-gray or sea-green
"Pseudomys gouldii (Waterhouse, 1839)",Pseudomys gouldii,"(Waterhouse, 1839) ",Muridae,gouldii,a rodent named after Gould
"Pseudomys gracilicaudatus (Gould, 1845)",Pseudomys gracilicaudatus,"(Gould, 1845) ",Muridae,gracilicaudatus,a slender-tailed rodent
"Pseudomys griseorursus Hoser, 2020",Pseudomys griseorursus,"Hoser, 2020",Muridae,griseorursus,a rodent that resembles gray bear
"Pseudomys hermannsburgensis (Waite, 1896)",Pseudomys hermannsburgensis,"(Waite, 1896) ",Muridae,hermannsburgensis,a rodent from Hermannsburg
"Pseudomys higginsi (Trouessart, 1897)",Pseudomys higginsi,"(Trouessart, 1897) ",Muridae,higginsi,a rodent named after Higgins
"Pseudomys johnsoni Kitchener, 1985",Pseudomys johnsoni,"Kitchener, 1985",Muridae,johnsoni,a rodent named after Johnson
"Pseudomys laborifex Kitchener & Humphreys, 1986",Pseudomys laborifex,"Kitchener & Humphreys, 1986",Muridae,laborifex,a rodent that resembles work-making
"Pseudomys luxauris Hoser, 2020",Pseudomys luxauris,"Hoser, 2020",Muridae,luxauris,a light-eared rodent
"Pseudomys nanus (Gould, 1858)",Pseudomys nanus,"(Gould, 1858) ",Muridae,nanus,a rodent that resembles dwarf or very small
"Pseudomys novaehollandiae (Waterhouse, 1843)",Pseudomys novaehollandiae,"(Waterhouse, 1843) ",Muridae,novaehollandiae,a rodent from New Holland
"Pseudomys occidentalis Tate, 1951",Pseudomys occidentalis,"Tate, 1951",Muridae,occidentalis,a rodent that resembles western or from the west
"Pseudomys occultatum Hoser, 2020",Pseudomys occultatum,"Hoser, 2020",Muridae,occultatum,a hidden or concealed rodent
"Pseudomys oralis Thomas, 1921",Pseudomys oralis,"Thomas, 1921",Muridae,oralis,a rodent that resembles of the mouth
"Pseudomys patrius (Thomas & Dollman, 1909)",Pseudomys patrius,"(Thomas & Dollman, 1909) ",Muridae,patrius,a rodent that resembles of the fatherland
"Pseudomys pellicauda Hoser, 2020",Pseudomys pellicauda,"Hoser, 2020",Muridae,pellicauda,a rodent that resembles with a skin-like tail
"Pseudomys pesrosea Hoser, 2020",Pseudomys pesrosea,"Hoser, 2020",Muridae,pesrosea,a pink-footed rodent
"Pseudomys pilligaensis Fox & Briscoe, 1980",Pseudomys pilligaensis,"Fox & Briscoe, 1980",Muridae,pilligaensis,a rodent from the Pilliga region
"Pseudomys shortridgei (Thomas, 1907)",Pseudomys shortridgei,"(Thomas, 1907) ",Muridae,shortridgei,a rodent named after Shortridge
"Pseudomys vandycki Godthelp, 1989",Pseudomys vandycki,"Godthelp, 1989",Muridae,vandycki,a rodent named after Vandyck
"Qaidamomys fortelii Li & Wang, 2014",Qaidamomys fortelii,"Li & Wang, 2014",Muridae,fortelii,a rodent named after Fortel
"Rattus adustus Sody, 1940",Rattus adustus,"Sody, 1940",Muridae,adustus,a burnt or scorched rodent
"Rattus andamanensis (Blyth, 1860)",Rattus andamanensis,"(Blyth, 1860) ",Muridae,andamanensis,a rodent from the Andaman Islands
"Rattus annandalei (Bonhote, 1903)",Rattus annandalei,"(Bonhote, 1903) ",Muridae,annandalei,a rodent named after Annandale
"Rattus arfakiensis Rümmler, 1935",Rattus arfakiensis,"Rümmler, 1935",Muridae,arfakiensis,a rodent from the Arfak Mountains
"Rattus argentiventer (Robinson & Kloss, 1916)",Rattus argentiventer,"(Robinson & Kloss, 1916) ",Muridae,argentiventer,a silver-bellied rodent
"Rattus arrogans (Thomas, 1922)",Rattus arrogans,"(Thomas, 1922) ",Muridae,arrogans,a rodent that resembles presumptuous or insolent
Rattus assimilis,Rattus assimilis,,Muridae,assimilis,a rodent that resembles resembling another
"Rattus baluensis (Thomas, 1894)",Rattus baluensis,"(Thomas, 1894) ",Muridae,baluensis,a rodent from Balu
"Rattus blangorum Miller, 1942",Rattus blangorum,"Miller, 1942",Muridae,blangorum,a rodent named after the Blangs
"Rattus bontanus Thomas, 1921",Rattus bontanus,"Thomas, 1921",Muridae,bontanus,a rodent from the mountains
Rattus browni,Rattus browni,,Muridae,browni,a rodent named after Brown
"Rattus burrus (Miller, 1902)",Rattus burrus,"(Miller, 1902) ",Muridae,burrus,a rodent that resembles reddish-brown
"Rattus ceramicus Thomas, 1920",Rattus ceramicus,"Thomas, 1920",Muridae,ceramicus,a pottery-like rodent
"Rattus colletti (Thomas, 1904)",Rattus colletti,"(Thomas, 1904) ",Muridae,colletti,a rodent named after Collett
"Rattus detentus Timm, Weijola, Aplin, Flannery & Pine, 2016",Rattus detentus,"Timm, Weijola, Aplin, Flannery & Pine, 2016",Muridae,detentus,a captured or detained rodent
"Rattus doboensis (Beaufort, 1911)",Rattus doboensis,"(Beaufort, 1911) ",Muridae,doboensis,a rodent from Doboj
"Rattus elaphinus Sody, 1941",Rattus elaphinus,"Sody, 1941",Muridae,elaphinus,a deer-like rodent
"Rattus elephinus Sody, 1941",Rattus elephinus,"Sody, 1941",Muridae,elephinus,a elephant-like rodent
"Rattus enganus (Miller, 1906)",Rattus enganus,"(Miller, 1906) ",Muridae,enganus,a rodent that resembles hooked or curved inward
"Rattus everetti (Günther, 1879)",Rattus everetti,"(Günther, 1879) ",Muridae,everetti,a rodent named after Everett
"Rattus exulans (Peale, 1848)",Rattus exulans,"(Peale, 1848) ",Muridae,exulans,a wandering or exiled rodent
"Rattus feliceus Thomas, 1920",Rattus feliceus,"Thomas, 1920",Muridae,feliceus,a rodent that resembles happy or fortunate
"Rattus fuscipes (Waterhouse, 1839)",Rattus fuscipes,"(Waterhouse, 1839) ",Muridae,fuscipes,a dark-footed rodent
Rattus gestri,Rattus gestri,,Muridae,gestri,a rodent named after Gestro
"Rattus giluwensis Hill, 1960",Rattus giluwensis,"Hill, 1960",Muridae,giluwensis,a rodent from Mount Giluwe
"Rattus hainaldi Kitchener, How & Maharadatunkamsi, 1991",Rattus hainaldi,"Kitchener, How & Maharadatunkamsi, 1991",Muridae,hainaldi,a rodent named after Hainald
"Rattus hoffmanni (Matschie, 1901)",Rattus hoffmanni,"(Matschie, 1901) ",Muridae,hoffmanni,a rodent named after Hoffmann
"Rattus hoogerwerfi Chasen, 1939",Rattus hoogerwerfi,"Chasen, 1939",Muridae,hoogerwerfi,a rodent named after Andries Hoogerwerf
"Rattus jobiensis Rümmler, 1935",Rattus jobiensis,"Rümmler, 1935",Muridae,jobiensis,a rodent from Jobi Island
"Rattus koopmani Musser & Holden, 1991",Rattus koopmani,"Musser & Holden, 1991",Muridae,koopmani,a rodent named after Koopman
"Rattus korinchi (Robinson & Kloss, 1916)",Rattus korinchi,"(Robinson & Kloss, 1916) ",Muridae,korinchi,a rodent from Mount Kerinci
"Rattus leucopus (Gray, 1867)",Rattus leucopus,"(Gray, 1867) ",Muridae,leucopus,a white-footed rodent
"Rattus losea (Swinhoe, 1871)",Rattus losea,"(Swinhoe, 1871) ",Muridae,losea,a lion-like rodent
"Rattus lugens (Miller, 1903)",Rattus lugens,"(Miller, 1903) ",Muridae,lugens,a rodent that resembles mourning
"Rattus lutreolus (J.E.Gray, 1841)",Rattus lutreolus,"(J.E.Gray, 1841) ",Muridae,lutreolus,a rodent that resembles little otter
"Rattus macleari (Thomas, 1887)",Rattus macleari,"(Thomas, 1887) ",Muridae,macleari,a rodent named after Maclear
"Rattus marmosurus Thomas, 1921",Rattus marmosurus,"Thomas, 1921",Muridae,marmosurus,a marmoset-tailed rodent
"Rattus mindorensis (Thomas, 1898)",Rattus mindorensis,"(Thomas, 1898) ",Muridae,mindorensis,a rodent from Mindoro
"Rattus mollicomulus Tate & Archbold, 1935",Rattus mollicomulus,"Tate & Archbold, 1935",Muridae,mollicomulus,a soft-haired rodent
"Rattus montanus Phillips, 1932",Rattus montanus,"Phillips, 1932",Muridae,montanus,a rodent that resembles of or from mountains
"Rattus mordax (Thomas, 1904)",Rattus mordax,"(Thomas, 1904) ",Muridae,mordax,a rodent that resembles biting or cutting
"Rattus morotaiensis Kellogg, 1945",Rattus morotaiensis,"Kellogg, 1945",Muridae,morotaiensis,a rodent from Morotai island
"Rattus nativitatis (Thomas, 1889)",Rattus nativitatis,"(Thomas, 1889) ",Muridae,nativitatis,a rodent that resembles of the birth or Christmas
"Rattus nativitatus (Thomas, 1889)",Rattus nativitatus,"(Thomas, 1889) ",Muridae,nativitatus,a rodent that resembles of or from Christmas Island
"Rattus nikenii Maryanto, Sinaga, Achmadi & Maharadatunkamsi, 2010",Rattus nikenii,"Maryanto, Sinaga, Achmadi & Maharadatunkamsi, 2010",Muridae,nikenii,a rodent named after Niken
"Rattus niobe (Thomas, 1906)",Rattus niobe,"(Thomas, 1906) ",Muridae,niobe,a rodent that resembles mourning or sorrowful
"Rattus nitidus (Hodgson, 1845)",Rattus nitidus,"(Hodgson, 1845) ",Muridae,nitidus,a rodent that resembles shiny or glossy
"Rattus norvegicus (Berkenhout, 1769)",Rattus norvegicus,"(Berkenhout, 1769) ",Muridae,norvegicus,a rodent from Norway
"Rattus norvegiens (Berkenhout, 1769)",Rattus norvegiens,"(Berkenhout, 1769) ",Muridae,norvegiens,a rodent from Norway
"Rattus novaeguineae Taylor & Calaby, 1982",Rattus novaeguineae,"Taylor & Calaby, 1982",Muridae,novaeguineae,a rodent from New Guinea
"Rattus omichlodes (Misonne, 1979)",Rattus omichlodes,"(Misonne, 1979) ",Muridae,omichlodes,a rodent that resembles cloud-like or foggy
"Rattus osgoodi Musser & Newcomb, 1985",Rattus osgoodi,"Musser & Newcomb, 1985",Muridae,osgoodi,a rodent named after Osgood
"Rattus palmarum (Zelebor, 1869)",Rattus palmarum,"(Zelebor, 1869) ",Muridae,palmarum,a rodent that resembles of or relating to palms
"Rattus pelurus Sody, 1941",Rattus pelurus,"Sody, 1941",Muridae,pelurus,a rodent that resembles with a broad base
"Rattus pococki (Ellerman, 1941)",Rattus pococki,"(Ellerman, 1941) ",Muridae,pococki,a rodent named after Pocock
"Rattus praetor (Thomas, 1888)",Rattus praetor,"(Thomas, 1888) ",Muridae,praetor,a judge-like rodent
"Rattus pyctoris (Hodgson, 1845)",Rattus pyctoris,"(Hodgson, 1845) ",Muridae,pyctoris,a yellow-browed rodent
"Rattus ranjiniae Agrawal & Ghosal, 1969",Rattus ranjiniae,"Agrawal & Ghosal, 1969",Muridae,ranjiniae,a rodent named after Ranjini
"Rattus rattus (Linnaeus, 1758)",Rattus rattus,"(Linnaeus, 1758) ",Muridae,rattus,a rodent that resembles referring to a rat
"Rattus rennelli Troughton, 1945",Rattus rennelli,"Troughton, 1945",Muridae,rennelli,a rodent named after Rennell
"Rattus richardsoni (Tate, 1949)",Rattus richardsoni,"(Tate, 1949) ",Muridae,richardsoni,a rodent named after Richardson
Rattus ringens,Rattus ringens,,Muridae,ringens,a gaping or open-mouthed rodent
"Rattus salocco Tate & Archbold, 1935",Rattus salocco,"Tate & Archbold, 1935",Muridae,salocco,a rodent that resembles forming dense clumps
"Rattus sanila Flannery & White, 1991",Rattus sanila,"Flannery & White, 1991",Muridae,sanila,a rodent that resembles unknown meaning
"Rattus satarae Hinton, 1918",Rattus satarae,"Hinton, 1918",Muridae,satarae,"a rodent from Satara, India"
"Rattus simalurensis (Miller, 1903)",Rattus simalurensis,"(Miller, 1903) ",Muridae,simalurensis,a rodent from Simeulue Island
"Rattus sordidus (Gould, 1858)",Rattus sordidus,"(Gould, 1858) ",Muridae,sordidus,a rodent that resembles dirty or shabby
"Rattus steini Rümmler, 1935",Rattus steini,"Rümmler, 1935",Muridae,steini,a rodent named after Stein
"Rattus stoicus (Miller, 1902)",Rattus stoicus,"(Miller, 1902) ",Muridae,stoicus,a rodent that resembles impassive or enduring
"Rattus tanezumi (Temminck, 1845)",Rattus tanezumi,"(Temminck, 1845) ",Muridae,tanezumi,a rodent that resembles Japanese brown rat
"Rattus tawitawiensis Musser & Heaney, 1985",Rattus tawitawiensis,"Musser & Heaney, 1985",Muridae,tawitawiensis,a rodent from Tawi-Tawi
"Rattus timorensis Kitchener, Aplin & Boeadi, 1991",Rattus timorensis,"Kitchener, Aplin & Boeadi, 1991",Muridae,timorensis,a rodent from Timor
"Rattus tiomanicus (Miller, 1900)",Rattus tiomanicus,"(Miller, 1900) ",Muridae,tiomanicus,a rodent from Tioman Island
"Rattus tunneyi (Thomas, 1904)",Rattus tunneyi,"(Thomas, 1904) ",Muridae,tunneyi,a rodent named after Tunney
"Rattus vandeuseni (Taylor & Calaby, 1982)",Rattus vandeuseni,"(Taylor & Calaby, 1982) ",Muridae,vandeuseni,a rodent named after Van Deusen
"Rattus verecundus (Thomas, 1904)",Rattus verecundus,"(Thomas, 1904) ",Muridae,verecundus,a rodent that resembles modest or shy
"Rattus villosissimus (Waite, 1898)",Rattus villosissimus,"(Waite, 1898) ",Muridae,villosissimus,a rodent that resembles very hairy
"Rattus xanthurus (Gray, 1867)",Rattus xanthurus,"(Gray, 1867) ",Muridae,xanthurus,a yellow-tailed rodent
"Repomys arizonensis Tomida, 1987",Repomys arizonensis,"Tomida, 1987",Muridae,arizonensis,a rodent from Arizona
"Repomys gustelyi May, 1981",Repomys gustelyi,"May, 1981",Muridae,gustelyi,a rodent named after Gustel
"Repomys maxumi May, 1981",Repomys maxumi,"May, 1981",Muridae,maxumi,a rodent that resembles largest or greatest
"Repomys panacaensis May, 1981",Repomys panacaensis,"May, 1981",Muridae,panacaensis,a rodent from Panacá
"Rhabdomys dilectus (de Winton, 1897)",Rhabdomys dilectus,"(de Winton, 1897) ",Muridae,dilectus,"a chosen, selected rodent"
"Rhabdomys pumalio (Sparrman, 1784)",Rhabdomys pumalio,"(Sparrman, 1784) ",Muridae,pumalio,a rodent that resembles dwarf
"Rhabdomys pumilio (Sparrman, 1784)",Rhabdomys pumilio,"(Sparrman, 1784) ",Muridae,pumilio,"a rodent that resembles dwarf, very small"
"Rhagamys orthodon (Hensel, 1856)",Rhagamys orthodon,"(Hensel, 1856) ",Muridae,orthodon,a straight-toothed rodent
"Rhagapodemus vandeweerdi de Bruijn & van der Meulen, 1975",Rhagapodemus vandeweerdi,"de Bruijn & van der Meulen, 1975",Muridae,vandeweerdi,a rodent named after van de Weerd
"Rhombomys opimus (Lichtenstein, 1823)",Rhombomys opimus,"(Lichtenstein, 1823) ",Muridae,opimus,a plump or well-fed rodent
"Rhynchomys banahao Balete, Rickart, Rosell-Ambal, Jansa & Heaney, 2007",Rhynchomys banahao,"Balete, Rickart, Rosell-Ambal, Jansa & Heaney, 2007",Muridae,banahao,a rodent from Mount Banahaw
"Rhynchomys isarogensis Musser & Freeman, 1981",Rhynchomys isarogensis,"Musser & Freeman, 1981",Muridae,isarogensis,a rodent from Mount Isarog
"Rhynchomys labo Rickart, Balete, Timm, Alviola, Esselstyn & Heaney, 2019",Rhynchomys labo,"Rickart, Balete, Timm, Alviola, Esselstyn & Heaney, 2019",Muridae,labo,a rodent that resembles laboring
"Rhynchomys mingan Rickart, Balete, Timm, Alviola, Esselstyn & Heaney, 2019",Rhynchomys mingan,"Rickart, Balete, Timm, Alviola, Esselstyn & Heaney, 2019",Muridae,mingan,a rodent from the Mingan Islands
"Rhynchomys soricoides Thomas, 1895",Rhynchomys soricoides,"Thomas, 1895",Muridae,soricoides,a shrew-like rodent
"Rhynchomys tapulao Balete, Rickart, Rosell-Ambal, Jansa & Heaney, 2007",Rhynchomys tapulao,"Balete, Rickart, Rosell-Ambal, Jansa & Heaney, 2007",Muridae,tapulao,a rodent from Tapulao
"Cricetodon montisrotundi (Schaub, 1944)",Cricetodon montisrotundi,"(Schaub, 1944) ",Muridae,montisrotundi,a rodent that resembles of the round mountain
"Rotundomys bressanus Mein, 1975",Rotundomys bressanus,"Mein, 1975",Muridae,bressanus,a rodent from Bresse
"Rotundomys freiriensis Antunes & Mein, 1979",Rotundomys freiriensis,"Antunes & Mein, 1979",Muridae,freiriensis,"a rodent from Freirina, Chile"
"Rotundomys intimus López-Antoñanzas, Peláez-Campomanes & _lvarez-Sierra, 2014",Rotundomys intimus,"López-Antoñanzas, Peláez-Campomanes & _lvarez-Sierra, 2014",Muridae,intimus,a rodent that resembles innermost or most internal
"Rotundomys mundi Calvo et al., 1979",Rotundomys mundi,"Calvo et al., 1979",Muridae,mundi,a rodent that resembles of the world
"Ruscinomys africanus Geraads, 1998",Ruscinomys africanus,"Geraads, 1998",Muridae,africanus,a rodent from Africa
"Ruscinomys europaeus Depéret, 1890",Ruscinomys europaeus,"Depéret, 1890",Muridae,europaeus,a rodent from Europe
"Ruscinomys lasallei Adrover, 1969",Ruscinomys lasallei,"Adrover, 1969",Muridae,lasallei,a rodent named after La Salle
"Ruscinomys thaleri (Hartenberger, 1965)",Ruscinomys thaleri,"(Hartenberger, 1965) ",Muridae,thaleri,a rodent named after Thaler
"Saxatilomys paulinae Musser, Smith, Robinson & Lunde, 2005",Saxatilomys paulinae,"Musser, Smith, Robinson & Lunde, 2005",Muridae,paulinae,a rodent named after Pauline
"Eumys exiguus (Wood, 1937)",Eumys exiguus,"(Wood, 1937) ",Muridae,exiguus,a rodent that resembles very small
"Scottimus ambiguus Korth, 1981",Scottimus ambiguus,"Korth, 1981",Muridae,ambiguus,a rodent that resembles of uncertain identity
"Scottimus kellamorum Black, 1961",Scottimus kellamorum,"Black, 1961",Muridae,kellamorum,a rodent named after the Kellams
"Scottimus longiquus Korth, 1981",Scottimus longiquus,"Korth, 1981",Muridae,longiquus,"a rodent that resembles distant, remote"
"Scottimus lophatus Wood, 1937",Scottimus lophatus,"Wood, 1937",Muridae,lophatus,a crested rodent
"Sekeetamys calurus (Thomas, 1892)",Sekeetamys calurus,"(Thomas, 1892) ",Muridae,calurus,a beautiful-tailed rodent
"Selenomys mimicus Matthew & Granger, 1923",Selenomys mimicus,"Matthew & Granger, 1923",Muridae,mimicus,a rodent that resembles imitating another species
"Sinocricetus progressus Qiu & Storch, 2000",Sinocricetus progressus,"Qiu & Storch, 2000",Muridae,progressus,a rodent that resembles advancing or developing
"Sinocricetus zdanskyi Schaub, 1930",Sinocricetus zdanskyi,"Schaub, 1930",Muridae,zdanskyi,a rodent named after Zdansky
"Solomys ponceleti (Troughton, 1935)",Solomys ponceleti,"(Troughton, 1935) ",Muridae,ponceleti,a rodent named after Poncelet
"Solomys salamonis (Ramsay, 1883)",Solomys salamonis,"(Ramsay, 1883) ",Muridae,salamonis,a rodent that resembles of Solomon
"Solomys salebrosus Troughton, 1936",Solomys salebrosus,"Troughton, 1936",Muridae,salebrosus,a rodent that resembles rough or uneven
"Solomys sapientis (Thomas, 1902)",Solomys sapientis,"(Thomas, 1902) ",Muridae,sapientis,a rodent that resembles wise
"Solomys spriggsarum Flannery & Wickler, 1990",Solomys spriggsarum,"Flannery & Wickler, 1990",Muridae,spriggsarum,a rodent named after the Spriggs
"Sommeromys macrorhinos Musser & Durden, 2002",Sommeromys macrorhinos,"Musser & Durden, 2002",Muridae,macrorhinos,a large-nosed rodent
"Soricomys kalinga (Balete, Rickart & Heaney, 2006)",Soricomys kalinga,"(Balete, Rickart & Heaney, 2006) ",Muridae,kalinga,a rodent from Kalinga
"Soricomys leonardocoi Balete, Rickart, Heaney, Alviola, M.V.Duya, M.R.M.Duya, Sosa & Jansa, 2012",Soricomys leonardocoi,"Balete, Rickart, Heaney, Alviola, M.V.Duya, M.R.M.Duya, Sosa & Jansa, 2012",Muridae,leonardocoi,a rodent named after Leonardo
"Soricomys montanus Balete, Rickart, Heaney, Alviola, M.V.Duya, M.R.M.Duya, Sosa & Jansa, 2012",Soricomys montanus,"Balete, Rickart, Heaney, Alviola, M.V.Duya, M.R.M.Duya, Sosa & Jansa, 2012",Muridae,montanus,a rodent that resembles of or from mountains
"Soricomys musseri (Rickart, Heaney, Tabaranza Jr. & Balete, 1998)",Soricomys musseri,"(Rickart, Heaney, Tabaranza Jr. & Balete, 1998) ",Muridae,musseri,a rodent named after Musser
"Spanocricetodon janvieri Mein & Ginsburg, 1997",Spanocricetodon janvieri,"Mein & Ginsburg, 1997",Muridae,janvieri,a rodent named after Janvier
"Spanocricetodon ningensis Li, 1977",Spanocricetodon ningensis,"Li, 1977",Muridae,ningensis,a rodent from the Ning Mountains
"Spanocricetodon sinuosus (Theocharopoulos, 2000)",Spanocricetodon sinuosus,"(Theocharopoulos, 2000) ",Muridae,sinuosus,a rodent that resembles wavy or sinuous
"Spelaeomys florensis Hooijer, 1957",Spelaeomys florensis,"Hooijer, 1957",Muridae,florensis,a rodent from Flores
"Srilankamys ohiensis (Phillips, 1929)",Srilankamys ohiensis,"(Phillips, 1929) ",Muridae,ohiensis,a rodent from Ohio
"Stenocephalemys albipes (Rüppell, 1842)",Stenocephalemys albipes,"(Rüppell, 1842) ",Muridae,albipes,a white-footed rodent
"Stenocephalemys albocaudata Frick, 1914",Stenocephalemys albocaudata,"Frick, 1914",Muridae,albocaudata,a white-tailed rodent
"Stenocephalemys griseicauda F.Petter, 1972",Stenocephalemys griseicauda,"F.Petter, 1972",Muridae,griseicauda,a gray-tailed rodent
"Stenocephalemys ruppi (Van der Straeten & Dieterlen, 1983)",Stenocephalemys ruppi,"(Van der Straeten & Dieterlen, 1983) ",Muridae,ruppi,a rodent named after Rupp
"Stephanomys ramblensis van de Weerd, 1976",Stephanomys ramblensis,"van de Weerd, 1976",Muridae,ramblensis,a rodent from Rambla
"Stephanomys stadii Mein & Michaux, 1979",Stephanomys stadii,"Mein & Michaux, 1979",Muridae,stadii,a rodent that resembles of or pertaining to stages
"Stochomys longicaudatus (Tullberg, 1893)",Stochomys longicaudatus,"(Tullberg, 1893) ",Muridae,longicaudatus,a long-tailed rodent
"Sundamys infraluteus (Thomas, 1888)",Sundamys infraluteus,"(Thomas, 1888) ",Muridae,infraluteus,a rodent that resembles yellow below
